"","city","state","city_size","mode","n","percent","moe","state_abb","state_region","city_state","lon","lat"
"812","Mentor city","Ohio","Small","Bike",31,0.1,0.2,"OH","North Central","Mentor city, Ohio",-81.339552,41.6661573
"813","Mequon city","Wisconsin","Small","Bike",32,0.3,0.4,"WI","North Central","Mequon city, Wisconsin",-88.0314174,43.2159232
"814","Merced city","California","Small","Bike",165,0.6,0.3,"CA","West","Merced city, California",-120.4829677,37.3021632
"815","Mercer Island city","Washington","Small","Bike",84,0.8,0.6,"WA","West","Mercer Island city, Washington",-122.2220674,47.5706548
"816","Meriden city","Connecticut","Small","Bike",49,0.2,0.2,"CT","Northeast","Meriden city, Connecticut",-72.8070435,41.5381535
"817","Meridian city","Idaho","Small","Bike",85,0.3,0.2,"ID","West","Meridian city, Idaho",-116.3915131,43.6121087
"818","Meridian city","Mississippi","Small","Bike",0,0,0.2,"MS","South","Meridian city, Mississippi",-88.703656,32.3643098
"819","Merrillville town","Indiana","Small","Bike",14,0.1,0.1,"IN","North Central","Merrillville town, Indiana",-87.3328139,41.4828144
"820","Methuen Town city","Massachusetts","Small","Bike",11,0,0.1,"MA","Northeast","Methuen Town city, Massachusetts",-71.1908924,42.7262016
"821","Miami Beach city","Florida","Small","Bike",2449,5.1,1.2,"FL","South","Miami Beach city, Florida",-80.1300455,25.790654
"822","Miami Lakes town","Florida","Small","Bike",0,0,0.3,"FL","South","Miami Lakes town, Florida",-80.3086619,25.9087056
"823","Miamisburg city","Ohio","Small","Bike",0,0,0.3,"OH","North Central","Miamisburg city, Ohio",-84.2866083,39.6428362
"824","Michigan City city","Indiana","Small","Bike",36,0.3,0.4,"IN","North Central","Michigan City city, Indiana",-86.8950297,41.7075394
"825","Middletown city","Connecticut","Small","Bike",44,0.2,0.2,"CT","Northeast","Middletown city, Connecticut",-72.6506488,41.5623209
"826","Middletown city","New York","Small","Bike",48,0.4,0.4,"NY","Northeast","Middletown city, New York",-74.4229341,41.4459271
"827","Middletown city","Ohio","Small","Bike",20,0.1,0.1,"OH","North Central","Middletown city, Ohio",-84.3982763,39.5150576
"828","Midland city","Michigan","Small","Bike",265,1.4,0.6,"MI","North Central","Midland city, Michigan",-84.2472116,43.6155825
"829","Midvale city","Utah","Small","Bike",28,0.2,0.2,"UT","West","Midvale city, Utah",-111.8999353,40.6110589
"830","Midwest City city","Oklahoma","Small","Bike",127,0.5,0.3,"OK","South","Midwest City city, Oklahoma",-97.3967019,35.4495065
"831","Milford city (balance)","Connecticut","Small","Bike",28,0.1,0.1,"CT","Northeast","Milford city (balance), Connecticut",-73.064036,41.2306979
"832","Millbrae city","California","Small","Bike",20,0.2,0.2,"CA","West","Millbrae city, California",-122.3871942,37.5985468
"833","Millville city","New Jersey","Small","Bike",50,0.4,0.4,"NJ","Northeast","Millville city, New Jersey",-75.0393438,39.4020596
"834","Milpitas city","California","Small","Bike",39,0.1,0.1,"CA","West","Milpitas city, California",-121.8995741,37.4323341
"835","Milton city","Georgia","Small","Bike",0,0,0.3,"GA","South","Milton city, Georgia",-84.300666,34.1321631
